data;receita;transacoes_blog;transacoes_site;usuarios_blog;usuarios_site
22/08/2019;1554001;0;17691;0;76016
23/08/2019;1409764;0;18507;0;79373
24/08/2019;749102;0;11137;0;61288
25/08/2019;800365;0;11177;0;61093
26/08/2019;973429;0;13823;0;94391
27/08/2019;916672;0;13721;0;85341
28/08/2019;1559048;0;17660;0;108716
29/08/2019;1703787;0;18533;0;79948
30/08/2019;870503;0;13440;0;66878
31/08/2019;939955;0;11898;0;55257
01/09/2019;747279;0;11044;0;59031
02/09/2019;1173912;0;16566;0;90626
03/09/2019;809002;0;12871;0;83104
04/09/2019;1149516;0;16750;0;84742
05/09/2019;1425668;0;19880;0;81461
06/09/2019;1354081;0;19247;0;66522
07/09/2019;1111588;0;14683;0;51478
08/09/2019;1165369;0;15689;0;56746
09/09/2019;1306696;0;17835;0;80721
10/09/2019;1633184;0;17675;0;80945
11/09/2019;1804896;0;19638;0;106963
12/09/2019;1632393;0;18278;0;99265
13/09/2019;1594721;0;16544;0;69148
14/09/2019;1197948;0;12015;0;51707
15/09/2019;1310113;0;12896;0;50261
16/09/2019;1459059;0;17351;0;78642
17/09/2019;1848511;0;19789;0;85737
18/09/2019;2102144;0;24585;0;91949
19/09/2019;1611029;0;19554;0;91032
20/09/2019;1326164;0;16073;0;82985
21/09/2019;741668;0;14514;0;67376
22/09/2019;1047399;0;14002;0;68679
23/09/2019;1390564;0;15673;0;84891
24/09/2019;1320334;0;17367;0;95013
25/09/2019;1454560;0;17152;0;104832
26/09/2019;1400786;0;18814;0;93104
27/09/2019;1166639;0;14276;0;79360
28/09/2019;1038901;0;12338;0;69852
29/09/2019;1038277;0;14135;0;63329
30/09/2019;1505083;0;19698;0;92406
01/10/2019;845094;0;15676;0;84230
02/10/2019;997877;0;18054;0;96104
03/10/2019;888033;0;15709;0;90144
04/10/2019;888525;0;17560;0;97886
05/10/2019;524743;0;11686;0;73869
06/10/2019;691166;0;14243;0;66429
07/10/2019;896707;0;16045;0;87106
08/10/2019;829448;0;16312;0;97342
09/10/2019;934192;0;19195;0;112717
10/10/2019;1198736;0;18768;0;107194
11/10/2019;978657;0;16364;0;92961
12/10/2019;583509;0;10181;0;69470
13/10/2019;594046;0;10571;0;59537
14/10/2019;698475;0;10283;0;78865
15/10/2019;954107;0;12380;0;82799
16/10/2019;924195;0;12211;0;82728
17/10/2019;499869;0;7670;0;78239
18/10/2019;524192;0;9156;0;75731
19/10/2019;386609;0;6962;0;54427
20/10/2019;383324;0;7757;0;52429
21/10/2019;659465;0;11977;0;84247
22/10/2019;832852;0;12311;0;81410
23/10/2019;662704;0;14431;0;95726
24/10/2019;822838;0;12510;0;86859
25/10/2019;778212;0;10506;0;75347
26/10/2019;549434;0;7816;0;59342
27/10/2019;477383;0;7621;0;58182
28/10/2019;654782;0;10113;0;91747
29/10/2019;874287;0;14280;0;120941
30/10/2019;1151808;0;16648;0;110156
31/10/2019;1039763;0;15776;0;134988
01/11/2019;3418061;0;61099;0;192182
02/11/2019;2138781;0;42659;0;142339
03/11/2019;2120287;0;46218;0;136525
04/11/2019;3055080;0;44349;0;188527
05/11/2019;2782574;0;42378;0;184576
06/11/2019;2954588;0;39144;0;167960
07/11/2019;3734379;0;50602;0;230227
08/11/2019;3463743;0;56549;0;217563
09/11/2019;1872381;0;32005;0;150243
10/11/2019;2345916;0;38786;0;157908
11/11/2019;3184337;0;39547;0;178896
12/11/2019;2895841;0;35032;0;169122
13/11/2019;3118594;0;46547;0;172108
14/11/2019;3370391;0;50905;0;184094
15/11/2019;2716778;0;39278;0;205538
16/11/2019;1993332;0;29549;0;164011
17/11/2019;1927531;0;29971;0;132407
18/11/2019;2664462;0;36297;0;169592
19/11/2019;3442117;0;45597;0;185113
20/11/2019;3913645;0;54758;0;185904
21/11/2019;3621519;0;48295;0;179588
22/11/2019;3846843;0;47726;0;183291
23/11/2019;2474376;0;31274;0;148712
24/11/2019;2753986;0;33202;0;167736
25/11/2019;3046213;0;47714;0;182521
26/11/2019;3241900;0;46574;0;184642
27/11/2019;3836341;0;54377;0;205381
28/11/2019;8853976;0;126133;0;353792
29/11/2019;12266844;0;188955;0;369989
30/11/2019;5504745;0;81873;0;214274
01/12/2019;4708909;0;67975;0;192181
02/12/2019;4350550;0;66896;0;187135
03/12/2019;4858419;0;73886;0;215253
04/12/2019;5026122;0;75475;0;201123
05/12/2019;4365090;0;67296;0;162234
06/12/2019;3122019;0;45044;0;157849
07/12/2019;2027824;0;30535;0;117879
08/12/2019;1649391;0;26357;0;114653
09/12/2019;2385553;0;43613;0;150623
10/12/2019;2929236;0;45957;0;156936
11/12/2019;3522611;0;50195;0;160884
12/12/2019;2647684;0;41079;0;166008
13/12/2019;2520455;0;45342;0;154196
14/12/2019;1709134;0;24266;0;129015
15/12/2019;1439500;0;22222;0;121817
16/12/2019;1966800;0;33019;0;162512
17/12/2019;2575685;0;35611;0;168365
18/12/2019;1729099;0;35801;0;204709
